Object,Affordances
dibble,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
die,"{1: ('shape', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75)}"
dining table,"{1: ('increase', 1.0), 2: ('support', 1.0)}"
diningtable,"{1: ('contain', 1.0)}"
dirk,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
dish sponge,"{1: ('clean', 1.0)}"
dishsponge,"{1: ('pick', 1.0)}"
ditch spade,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
dog bed,"{1: ('comfort', 1.0), 2: ('support', 1.0)}"
dog wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
dogbed,"{1: ('contain', 1.0)}"
double bitted ax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
dovetail plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
drawer,"{1: ('store', 1.0), 2: ('contain', 1.0)}"
drawknife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
dresser,"{1: ('store', 1.0), 2: ('increase', 1.0), 3: ('support', 1.0), 4: ('contain', 1.0)}"
drill,"{1: ('cut', 1.25), 2: ('drill', 1.25), 3: ('fix', 1.25), 4: ('bore', 1.25), 5: ('change', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
drilling bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
drove,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
drum sander,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('cover', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('cool', 0.75), 11: ('handle', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('separate', 0.75), 17: ('wash', 0.75)}"
dry battery,"{1: ('roll', 1.0), 2: ('grasp', 1.0)}"
dumbbell,"{1: ('pick', 1.0)}"
dumbell,"{1: ('exercise', 1.0), 2: ('break', 1.0)}"
edge tool,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
edger,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
egg,"{1: ('eat', 1.0), 2: ('break', 1.0), 3: ('cut', 1.0), 4: ('pick', 1.0)}"
electric drill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
electric hammer,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('clean', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('hammer', 0.75), 7: ('handle', 0.75), 8: ('install', 0.75), 9: ('operate', 0.75), 10: ('plug', 0.75), 11: ('repair', 0.75), 12: ('wash', 0.75)}"
entrenching tool,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
eolith,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
expansion bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
faucet,"{1: ('operate', 1.0)}"
file,"{1: ('hold', 1.25), 2: ('file', 1.25), 3: ('polish', 1.25), 4: ('grasp', 0.75), 5: ('beautify', 0.75), 6: ('change', 0.75), 7: ('fix', 0.75), 8: ('repair', 0.75)}"
fireman's ax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
firmer chisel,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
fish knife,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('carve', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('crack', 0.75), 7: ('cube', 0.75), 8: ('dice', 0.75), 9: ('fix', 0.75), 10: ('hold', 0.75), 11: ('peel', 0.75), 12: ('pick', 0.75), 13: ('repair', 0.75), 14: ('rub', 0.75), 15: ('separate', 0.75), 16: ('skin', 0.75), 17: ('spread', 0.75), 18: ('contain', 0.75), 19: ('wipe', 0.75)}"
fishtail bit,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
flashlight,"{1: ('roll', 1.0), 2: ('grasp', 1.0), 3: ('illuminate', 1.0)}"
flat file,"{1: ('grasp', 0.75), 2: ('beautify', 0.75), 3: ('change', 0.75), 4: ('file', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('polish', 0.75), 8: ('repair', 0.75)}"
flat tip screwdriver,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('poke', 0.75), 6: ('repair', 0.75), 7: ('screw', 0.75)}"
float,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('smoothen', 0.75)}"
floor,"{1: ('support', 1.0), 2: ('contain', 1.0)}"
floor lamp,"{1: ('illuminate', 1.0)}"
floorlamp,"{1: ('operate', 1.0)}"
folding saw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
food bag,"{1: ('grasp', 1.0)}"
food box,"{1: ('grasp', 1.0)}"
food can,"{1: ('wrap', 1.0), 2: ('roll', 1.0)}"
food cup,"{1: ('wrap', 1.0), 2: ('roll', 1.0)}"
food jar,"{1: ('wrap', 1.0), 2: ('roll', 1.0)}"
footstool,"{1: ('increase', 1.0), 2: ('support', 1.0), 3: ('contain', 1.0), 4: ('pick', 1.0)}"
fore plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
fork,"{1: ('cut', 1.0), 2: ('mix', 1.0), 3: ('break', 1.0), 4: ('pick', 1.0), 5: ('change', 0.75), 6: ('fix', 0.75), 7: ('repair', 0.75)}"
fridge,"{1: ('store', 1.0), 2: ('contain', 1.0), 3: ('cool', 1.0)}"
gang,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
gangsaw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
garbage can,"{1: ('dispose', 1.0)}"
garbagebag,{}
garbagecan,"{1: ('contain', 1.0)}"
garden rake,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('pick', 0.75), 4: ('repair', 0.75)}"
garden spade,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
garden tool,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
garden trowel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('scoop', 0.75), 7: ('spread', 0.75)}"
gasket,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
gavel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
glass cutter,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
glue stick,"{1: ('grasp', 1.0)}"
gouge,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
grapnel,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
graver,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('engrave', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
guitar pick,"{1: ('cut', 0.75), 2: ('break', 0.75), 3: ('change', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('hammer', 0.75), 7: ('handle', 0.75), 8: ('operate', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
gutter,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
hack,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75)}"
hacksaw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
half hatchet,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
hammer,"{1: ('break', 1.25), 2: ('hammer', 1.25), 3: ('change', 0.75), 4: ('clean', 0.75), 5: ('control', 0.75), 6: ('fix', 0.75), 7: ('handle', 0.75), 8: ('install', 0.75), 9: ('operate', 0.75), 10: ('plug', 0.75), 11: ('repair', 0.75), 12: ('wash', 0.75)}"
hand ax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
hand drill,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
hand mower,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
hand shovel,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('dig', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
hand tool,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
hand towel,"{1: ('dry', 1.0), 2: ('grasp', 1.0), 3: ('clean', 1.0)}"
handsaw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
handstamp,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
handtowel,"{1: ('pick', 1.0)}"
handtowelholder,"{1: ('contain', 1.0)}"
hatchel,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
hatchet,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
hayfork,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('lift', 0.75), 6: ('repair', 0.75)}"
head gasket,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
hedge trimmer,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
hob,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('skin', 0.75)}"
hoe,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
hook wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
house plant,"{1: ('decorate', 1.0)}"
houseplant,"{1: ('contain', 1.0)}"
hunting knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
ice ax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
icepick,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('control', 0.75), 6: ('fix', 0.75), 7: ('hammer', 0.75), 8: ('handle', 0.75), 9: ('hold', 0.75), 10: ('operate', 0.75), 11: ('repair', 0.75), 12: ('separate', 0.75), 13: ('skin', 0.75)}"
instant noodle,"{1: ('grasp', 1.0)}"
jack,"{1: ('lift', 1.25), 2: ('break', 0.75), 3: ('change', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('handle', 0.75), 7: ('operate', 0.75), 8: ('repair', 0.75)}"
jack plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
jackscrew,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('control', 0.75), 4: ('fix', 0.75), 5: ('handle', 0.75), 6: ('lift', 0.75), 7: ('operate', 0.75), 8: ('repair', 0.75)}"
jigsaw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
jointer,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
kettle,"{1: ('contain', 2.0), 2: ('carry', 1.5), 3: ('be heated', 1.0), 4: ('pick', 1.0)}"
keyboard,"{1: ('grasp', 1.0)}"
keychain,"{1: ('pick', 1.0)}"
keyhole saw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
khukurus,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('cube', 0.75), 5: ('dice', 0.75), 6: ('fix', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
kirpan,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
kitchen knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
kitchenknife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
kleenex,"{1: ('dry', 1.0), 2: ('grasp', 1.0)}"
knife,"{1: ('cut', 2.25), 2: ('mix', 1.0), 3: ('break', 1.0), 4: ('pick', 1.0), 5: ('carve', 0.75), 6: ('change', 0.75), 7: ('cube', 0.75), 8: ('dice', 0.75), 9: ('fix', 0.75), 10: ('repair', 0.75), 11: ('separate', 0.75), 12: ('skin', 0.75), 13: ('crack', 0.75), 14: ('peel', 0.75)}"
knife blade,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75), 6: ('slit', 0.75)}"
kri,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
ladle,"{1: ('mix', 1.0), 2: ('break', 1.0), 3: ('pick', 1.0)}"
lancet,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
laptop,"{1: ('entertain', 1.0), 2: ('read', 1.0), 3: ('time', 1.0), 4: ('write', 1.0), 5: ('operate', 1.0), 6: ('break', 1.0), 7: ('pick', 1.0)}"
latchstring,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
laundry hamper,"{1: ('store', 1.0)}"
laundryhamper,"{1: ('contain', 1.0)}"
lawn mower,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
letter opener,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
lettuce,"{1: ('eat', 1.0), 2: ('cut', 1.0), 3: ('pick', 1.0)}"
light switch,"{1: ('illuminate', 1.0)}"
lightbulb,"{1: ('grasp', 1.0), 2: ('illuminate', 1.0)}"
lightswitch,"{1: ('operate', 1.0)}"
linoleum knife,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
lister,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('plow', 0.75), 4: ('repair', 0.75)}"
lochaber ax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
locking plier,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
lug wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
machete,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('cube', 0.75), 5: ('dice', 0.75), 6: ('fix', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
mallet,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
marker,"{1: ('grasp', 1.0)}"
marlinespike,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75)}"
match plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
mattock,"{1: ('cut', 0.75), 2: ('break', 0.75), 3: ('change', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('hammer', 0.75), 7: ('handle', 0.75), 8: ('operate', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
maul,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
metal box,"{1: ('contain', 0.75), 2: ('support', 0.6)}"
microwave,"{1: ('heat', 2.0), 2: ('contain', 1.0), 3: ('operate', 1.0)}"
mirror,"{1: ('break', 1.0)}"
miter box,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
moldboard plow,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('plow', 0.75), 4: ('repair', 0.75)}"
monkey wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
mug,"{1: ('contain', 2.0), 2: ('carry', 1.0), 3: ('be heated', 1.0), 4: ('break', 1.0), 5: ('pick', 1.0)}"
nailfile,"{1: ('grasp', 0.75), 2: ('beautify', 0.75), 3: ('change', 0.75), 4: ('file', 0.75), 5: ('fix', 0.75), 6: ('hold', 0.75), 7: ('polish', 0.75), 8: ('repair', 0.75)}"
needlenose plier,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
neolith,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
newspaper,"{1: ('read', 1.5), 2: ('clean', 1.0), 3: ('pick', 1.0)}"
notebook,"{1: ('grasp', 1.0)}"
o ring,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('repair', 0.75)}"
open end wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
opener,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
openside plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
ottoman,"{1: ('comfort', 1.0), 2: ('increase', 1.0), 3: ('support', 1.0), 4: ('contain', 1.0)}"
oven,"{1: ('heat', 1.0)}"
painting,"{1: ('decorate', 1.5)}"
paleolith,"{1: ('change', 0.75), 2: ('fix', 0.75), 3: ('repair', 0.75)}"
palette knife,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mix', 0.75), 6: ('repair', 0.75), 7: ('spread', 0.75)}"
pallet,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75)}"
pan,"{1: ('contain', 2.0), 2: ('carry', 1.0), 3: ('be heated', 1.0), 4: ('pick', 1.0)}"
paper box,"{1: ('contain', 0.75)}"
paper cutter,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75), 5: ('separate', 0.75)}"
paper towel roll,"{1: ('clean', 1.0)}"
papertowelroll,"{1: ('pick', 1.0)}"
parang,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
parer,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
pen,"{1: ('write', 1.5), 2: ('pick', 1.0)}"
pencil,"{1: ('write', 1.5), 2: ('pick', 1.0)}"
