Object,Correct_Location,Wrong_Locations
lime squeezer,lobby,"['band room', 'family room', 'room of house', 'purse']"
linoleum,kitchen,"['garbage', 'apartment', 'bath', 'most rooms']"
lip,can,"['jar', 'delivery room', 'class room', 'range']"
lipstick,utility room,"['cubicle', 'pot', 'anor room', 'tin']"
liquor,bar,"['teapot', 'briefcase', 'hamper', 'bright room']"
loaf,fridge,"['laundry room', 'laundry room', 'desk', 'hotel room']"
lobster,pot,"['head', 'dormroom', 'cubicle', 'orchestra']"
loft,apartment,"['board', 'purse', 'dumpster', 'lobby']"
lotion,cabinet,"['ballroom', 'card room', 'camp', ""child's bedroom""]"
lunch,backpack,"['storage room', 'garden', 'hall', 'class room']"
lunch bag,dining room,"['icebox', 'separate room', 'pot', 'mailbox']"
lunch box,childs room,"['pan', 'bottle', 'palace', 'tin']"
magazine,bed,"['living room', 'middle of  room', 'basement', 'livin room']"
magnet,car,"['packet', ""teenager's bedroom"", 'utility room', 'sink']"
magnifying glass,pantry room,"['shelf', 'motorbike', 'truck', 'motorbike']"
mail,fridge,"['utility room', 'storage room', 'toaster', 'hamper']"
mailbox,apartment,"['case', 'desk', 'case', 'lobby']"
mainsail,boat,"['dungeon', 'music room', 'foyer', 'independant room']"
makeup,purse,"['briefcase', 'grand ballroom', 'keg', ""men's restroom""]"
marshmallow,oven,"['independant room', 'pitcher', 'basement', 'bunk']"
mascara,childs room,"['mansion', 'dimly lit room', 'family room', 'sack']"
mast,boat,"['corridor', 'spoon', 'microwave', 'hotel room']"
master chef can,closet,"['trap', 'nest', 'cubicle', 'bicycle']"
mat,house,"['place', 'shelf', 'vault', 'schoolroom']"
match,box,"['fridge', 'music room', 'floor', 'garage']"
mattress,house,"['larder', 'independant room', 'tin', 'parlor']"
mayo,jar,"['mailbox', 'jacket', 'corridor', 'mansion']"
mayonnaise,refrigerator,"['desk', 'pitcher', 'hamper', 'middle of  room']"
measuring tape,living room,"['vault', 'icebox', ""cash's room"", 'cabinet']"
meatloaf,oven,"['washer', 'lobby', 'dumpster', 'mailbox']"
medicine,lobby,"['attic', 'tin', 'wardrobe', 'quiver']"
memory,pantry,"['waiting room', 'corridor', 'teapot', 'deck']"
meringue,oven,"['keg', 'bathroom and kitchen', 'place', 'master bedroom']"
mess,apartment,"['house', 'home office', 'beehive', 'hotel room']"
metronome,cabinet,"['belfry', 'cradle', 'head', 'basement']"
microwave,apartment,"['bowl', 'master bedroom', 'anor room', 'backpack']"
milk,kitchen,"['dishwasher', 'plate', 'hamper', 'backpack']"
milk fror,kitchen,"['freezer', 'master bedroom', 'safe', 'motorbike']"
mini soccer ball,utility room,"['apartment', 'plate', 'mailbox', 'dumpster']"
mint,refrigerator,"['bathroom and kitchen', 'independant room', 'palace', 'middle of  room']"
mirror,living room,"['suitcase', 'handbag', 'pantry', 'garden']"
mit,bed,"['bookshelf', 'bicycle', 'cat', 'microwave']"
moistener,bathroom,"['living room', 'breadbox', 'bathroom cabinet', 'pantry room']"
mold,fridge,"['castle', 'shelf', 'pot', 'cruet']"
monitor,box,"['pantry room', 'schoolroom', 'bottle', 'hotel room']"
moonshine,jar,"['quiver', 'one of  classrooms', 'hotel room', 'basket']"
mop,apartment,"['numerous modern washrooms', 'lobby', 'toolbox', 'well']"
morboard,corridor,"['grand ballroom', 'head', 'ballroom', ""child's bedroom""]"
mouse,storage room,"['bathroom cabinet', 'bathtub', 'jacket', 'jacket']"
mouse pad,pantry room,"['master bedroom', 'garbage', 'plate', 'different room']"
mousepad,desk,"[""men's restroom"", 'bookshelf', 'band room', 'bed']"
movie dvd,kitchen,"['living rooms', 'pan', 'fridge', 'house']"
muffin,oven,"[""men's restroom"", 'bathroom and kitchen', 'study', 'bottle']"
mug,utility room,"['hatbox', 'machine', 'place', 'wallet']"
mule,pitcher,"['refrigerator', 'class room', 'garbage', 'corridor']"
multiport hub,lobby,"['drawer', ""teenager's bedroom"", 'larder', ""men's restroom""]"
museum,house,"['keg', 'suitcase', 'plate', 'pocket']"
mustard bottle,storage room,"['dresser', 'bright room', ""person's living room"", 'microwave']"
nail,cabinet,"['bike', 'bathroom and kitchen', 'living rooms', 'hall']"
napkin,table,"['bathroom cabinet', 'hamper', 'quiver', 'basket']"
neck rest,bedroom,"['library', 'toolbox', 'classroom', 'laundry room']"
neckwear,closet,"['larder', 'table', 'bottle', 'lounge']"
net,boat,"['lamp', 'refrigerator', 'microwave', 'sofa']"
netting,backpack,"['cup', 'deck', 'room of house', 'place']"
newspaper,living room,"['dresser', 'safe', 'bath', 'livingroom']"
nine hole peg test,kitchen,"['one room flat', 'container', 'den', 'grand ballroom']"
nintendo switch,bathroom,"['small room', 'handbag', 'hospital drug storeroom', 'cubicle']"
notebook,package,"['schoolroom', ""men's restroom"", 'home office', 'washer']"
oil,car,"['bar', 'butt', 'automobile', 'wallet']"
ointment,jar,"['middle of  room', 'bicycle', 'dimly lit room', 'counter']"
olive,refrigerator,"['glass', 'corridor', 'bath', 'camp']"
orange,lobby,"['locker', 'carton', 'bike', 'card room']"
organiser,desk,"['quiver', 'nest', 'glass', 'oven']"
ottoman,parlor,"['palace', 'kitchen', 'bath', 'cubicle']"
outfit,closet,"['beehive', 'spoon', 'laundry room', 'pot']"
oven,home,"['foyer', 'parlor', 'garage', 'bathroom drawer']"
pad,bathroom drawer,"['shaker', 'bunk', 'bed', 'bright room']"
padlock,bedroom,"['breadbox', 'bowl', 'hotel room', 'can']"
paint,container,"['kitchen', 'carton', 'parlor', 'ambulance']"
paint bottle set,corridor,"['every room', 'tank', 'package', 'pod']"
paint maker,bedroom,"['desk', 'breadbox', 'sedan', 'hospital drug storeroom']"
painting,bathroom,"['dresser', 'well', 'engine', 'pitcher']"
pajama,suitcase,"['teapot', 'living room', 'stove', 'bike']"
pan,lobby,"['restroom', 'machine', 'place', 'bathroom drawer']"
pantry,kitchen,"['machine', 'boat', 'shelf', 'waiting room']"
paper,drawer,"['pantry', 'room', 'nest', 'cubicle']"
paper bag,pantry room,"['waiting room', 'stove', 'pitcher', 'sedan']"
paperclip,cabinet,"['one room flat', 'court', 'table', 'pocket']"
papertowelroll,bathroom,"['teapot', 'automobile', 'hospital drug storeroom', 'castle']"
paperweight,desk,"['anor room', 'different room', 'separate room', 'bar']"
parchment sheet,bathroom,"[""child's bedroom"", ""child's bedroom"", 'hatbox', ""person's living room""]"
parsley,plate,"['teapot', 'sedan', 'family room', 'art classroom']"
pasta,pantry,"['beehive', 'garbage', 'waiting room', 'bedroom']"
paste,cabinet,"['livingroom', 'pitcher', 'kitchen or bathroom', 'hatbox']"
pastry,oven,"['television room', 'lamp', 'middle of  room', 'boot']"
pea,freezer,"['quiver', 'pot', 'garbage', 'toolbox']"
peach,home office,"['locker', 'cabin', 'boat', 'livingroom']"
pear,childs room,"['separate room', 'carton', 'bright room', 'bar']"
pedal,car,"['vault', 'container', 'playroom', 'different room']"
peg and hammer toy,playroom,"['mansion', 'grand ballroom', 'master bedroom', ""teenager's bedroom""]"
pen,living room,"['bottle', 'packet', 'home', 'tea room']"
pencil,pocket,"['every room', 'stand', 'every room', 'oven']"
pencil case,lobby,"['dresser', 'freezer', 'breadbox', 'every room']"
pepper,oven,"['side of  room', 'bunk', ""prostitute's bedroom"", 'attic']"
peppermint,corridor,"['beehive', 'backyard', 'bathroom drawer', 'safe']"
peppershaker,kitchen,"['bicycle', 'aquarium', 'playroom', 'shoe']"
pepsi,fridge,"['dishwasher', 'barrel', 'library', 'hospital drug storeroom']"
pepsi can pack,bedroom,"['furniture', 'table', 'beehive', 'room of house']"
perfume,cabinet,"['separate room', 'bathroom cabinet', 'house', 'kitchen']"
pesto,refrigerator,"['television room', ""person's living room"", 'wardrobe', 'boat']"
pet food supplement,playroom,"['nest', 'breadbox', 'foyer', 'waiting room']"
phillips screwdriver,playroom,"['shell', 'numerous modern washrooms', 'class room', 'toaster']"
phone,truck,"['restroom', 'every bedroom', 'way', 'lobby']"
phone armband case,garage,"['deck', 'independant room', 'castle', 'living rooms']"
phone stand,kitchen,"['bathroom drawer', 'card room', 'pitcher', 'middle of  room']"
photo,cabinet,"['one of  classrooms', 'card room', 'broom closet', 'den']"
photocopier,library,"['livingroom', 'camp', 'machine', 'closet']"
photograph,shelf,"['bath', 'truck', 'stove', 'orchestra']"
piccalilli,jar,"['home', 'ambulance', 'deck', 'every room']"
picture frame,bathroom,"['shaker', 'bedroom drawer', 'independant room', 'foyer']"
pie,oven,"['floor', 'bathroom and kitchen', 'washer', 'engine']"
pill,jar,"['trap', 'range', 'home', 'bath']"
pillow,playroom,"['one room flat', 'bathroom or kitchen', 'truck', 'cradle']"
pillowcase,bedroom,"['basement', 'separate room', 'belfry', 'board']"
pineapple,jar,"['place', 'room of house', 'cabin', 'boat']"
pirate,boat,"['briefcase', 'band room', 'stove', 'dwelling']"
pit,backyard,"['belfry', 'hatbox', ""cash's room"", 'dumpster']"
pitcher base,exercise room,"['middle of  room', 'ir rooms', 'camp', 'microwave']"
pizza,oven,"['board', 'room of house', 'cup', 'sedan']"
plant,dining room,"[""prostitute's bedroom"", 'garbage', 'truck', 'beehive']"
plant container,exercise room,"['lounge', 'bottle', 'loungeroom', ""cash's room""]"
plant saucer,bedroom,"['dimly lit room', 'motel room', 'head', 'bag']"
plate,closet,"['shoe', 'most rooms', 'fridge', 'motel room']"
platter,cabinet,"['cubicle', 'dishwasher', 'childs room', 'pan']"
plum,corridor,"['ir rooms', 'boat', 'dimly lit room', 'independant room']"
plumbing,house,"['study', 'car', 'belfry', 'camp']"
plunger,bathroom,"['car', 'kitchen', 'shell', 'bathroom or kitchen']"
popsicle,freezer,"['bicycle', 'parlor', 'one room flat', 'closet']"
pork,oven,"['floor', 'camp', 'orchestra', 'packet']"
portable speaker,playroom,"['car', 'every bedroom', 'locker', 'anor room']"
poster,bedroom,"['icebox', 'way', 'trap', 'television room']"
pot,drawer,"['class room', 'refrigerator', 'restroom', 'dishwasher']"
potato,microwave,"[""child's bedroom"", 'icebox', 'schoolroom', ""child's room""]"
potpourri,drawer,"['range', 'orchestra', 'hatbox', 'apartment']"
potted meat can,living room,"['trap', 'one of  classrooms', 'room', 'dresser']"
pottery,chamber,"['dresser', 'lounge', 'livin room', 'childs room']"
pouch,pantry,"['sink', 'hamper', 'well', 'motorbike']"
power drill,home office,"['home', 'suitcase', ""men's restroom"", 'automobile']"
prawn,oven,"['wardrobe', 'cup', 'table', 'box']"
presentation,way,"['parlor', ""cash's room"", 'safe', 'independant room']"
preserve,jar,"['bedroom drawer', 'nest', 'belfry', 'sofa']"
pressure cooker,living room,"['ir rooms', 'bathroom or kitchen', 'bike', 'bay']"
pretzel,oven,"['well', 'dining room', 'utility room', 'playroom']"
propellor,boat,"['dining room', 'belfry', 'glass', 'dishwasher']"
prow,boat,"['trap', 'different room', 'garbage', 'deck']"
pudding,container,"['butt', 'microwave', 'grand ballroom', 'delivery room']"
pudding box,bathroom,"['anor room', 'basket', 'butt', 'basket']"
pump,boat,"['shelf', 'drawer', 'drawer', 'carton']"
puzzle game,corridor,"['fridge', 'class room', 'bowl', 'pod']"
pyjama,bedroom,"['garbage', 'motorbike', 'hospital drug storeroom', 'chest']"
quilt,trunk,"['vault', 'handbag', 'music room', 'dishwasher']"
rack,oven,"['refrigerator', 'automobile', 'ambulance', 'pot']"
racquetball,exercise room,"['loungeroom', 'deck', 'butt', 'shoe']"
radiator,car,"['counter', 'mailbox', 'engine', 'handbag']"
radio,trunk,"['guest room', 'library', 'camp', 'storage room']"
rafter,attic,"['backpack', 'chest', 'one room flat', 'vault']"
rag,cabinet,"['spoon', 'delivery room', 'basement', 'hive']"
raincoat,backpack,"['trunk', 'dishwasher', 'bay', 'range']"
ramekin,garage,"['safe', 'bed', 'backpack', 'furniture']"
reader,library,"['hospital drug storeroom', 'glass', 'bay', 'tea room']"
reference,library,"['dwelling', 'cup', 'home office', 'bath']"
refrigerator,home,"['tank', ""men's restroom"", 'closet', 'orchestra']"
remote control,closet,"['guest room', 'study', ""cash's room"", 'side of  room']"
remotecontrol,bedroom,"['engine', 'dungeon', 'storage room', 'loungeroom']"
residence,home,"['orchestra', 'family room', 'desk', 'icebox']"
restroom,library,"['range', 'plate', 'tank', 'corridor']"
rib,refrigerator,"['shaker', 'dungeon', 'court', 'pantry']"
ribbon,box,"['car', 'court', 'engine', 'bed']"
rice,pantry,"['waiting room', 'bathroom', 'carton', 'handbag']"
rmal laminator,kitchen,"['bath', 'bathroom drawer', 'bright room', 'icebox']"
roast,oven,"['bottle', 'room of house', 'nest', 'tin']"
robe,suitcase,"['mansion', 'court', 'cat', 'can']"
rod,engine,"['family room', 'tank', 'kitchen', 'freezer']"
roll,breadbox,"['engine', 'motorbike', 'room of house', 'teapot']"
rolodex,desk,"['orchestra', 'board', 'most rooms', 'bunk']"
romaine,refrigerator,"['vault', 'ballroom', 'numerous modern washrooms', 'classroom']"
rook,castle,"['loungeroom', 'palace', 'case', 'apartment']"
room,apartment,"['exercise room', 'art classroom', 'keg', 'drawer']"
roomdecor,living room,"['tea room', 'dormroom', 'range', 'tank']"
rope,boat,"['dumpster', 'bed', 'loft', 'castle']"
rose,garden,"['truck', 'packet', ""men's restroom"", 'cradle']"
rotisserie,oven,"['living rooms', 'grand ballroom', 'separate room', 'ambulance']"
router,lobby,"['classroom', 'separate room', 'bathtub', 'press']"
row,table,"['range', 'bunk', 'engine', 'briefcase']"
rubiks cube,playroom,"['pod', 'glass', ""cash's room"", 'hall']"
rudder,boat,"['container', 'cubicle', 'pot', 'cabinet']"
rug,bedroom,"['fridge', 'spoon', 'band room', 'plate']"
rule,classroom,"['desk', 'house', 'can', ""cash's room""]"
ruler,desk,"['stand', 'chamber', ""cash's room"", 'music room']"
sachet,drawer,"['trunk', 'breadbox', 'bath', 'pan']"
safe,living room,"['ballroom', 'garbage', 'classroom', 'barrel']"
salad,refrigerator,"['cabinet', 'boat', 'plate', 'bay']"
salmon,oven,"['anor room', 'sack', 'bank', 'bathtub']"
salt,shelf,"['purse', 'teapot', 'television room', 'class room']"
salt shaker,bathroom,"['beehive', 'camp', 'most rooms', 'anor room']"
saltshaker,cruet,"['larder', 'floor', 'can', 'anor room']"
sander,cabinet,"['tank', 'chamber', 'vault', 'sedan']"
sandwich,plate,"['ir rooms', 'music room', ""teenager's bedroom"", 'bedroom']"
sanitary pads,bathroom,"['backyard', 'bookshelf', 'middle of  room', 'court']"
sauce,plate,"['most rooms', 'container', 'kitchen', 'library']"
saucepan,kitchen,"['purse', 'board', 'ambulance', 'basket']"
saucer,lobby,"['chamber', 'keg', ""men's restroom"", 'cubicle']"
saute pan,bathroom,"['box', 'foyer', 'jacket', 'apartment']"
saw,basement,"['grand ballroom', 'side of  room', ""teenager's bedroom"", 'bed']"
scallop,shell,"['backpack', 'bottle', 'sack', 'home office']"
scarf,drawer,"['camp', 'automobile', 'bus', 'corridor']"
school,backpack,"['spoon', 'box', 'motorbike', 'kitchen']"
schoolbook,backpack,"['truck', 'fridge', 'bright room', 'parlor']"
scissors,storage room,"['dungeon', 'bicycle', 'music room', 'laundry room']"
scone,oven,"['chamber', 'floor', ""person's living room"", 'lounge']"
screwdriver,bar,"['house', 'dresser', 'storage room', 'bottle']"
scrubbrush,bathroom,"['car', 'briefcase', 'dwelling', 'music room']"
set,washer,"['waiting room', 'sedan', 'separate room', ""cash's room""]"
set-top box,childs room,"['bowl', 'orchestra', 'one of  classrooms', 'desk']"
setting,table,"['barrel', 'mailbox', 'bright room', 'container']"
sextant,boat,"['handbag', 'dishwasher', 'safe', 'trunk']"
shear,machine,"['parlor', 'bathroom and kitchen', 'castle', 'house']"
shed,backyard,"[""teenager's bedroom"", 'house', 'box', 'waiting room']"
sheet,range,"['sack', 'family room', 'spoon', 'ir rooms']"
shelf,library,"['carton', 'tank', 'laundry room', 'handbag']"
shellac,can,"['barrel', 'lounge', 'pot', 'pan']"
shelvingunit,kitchen,"['carton', 'laundry room', 'chamber', 'delivery room']"
shirt,drawer,"['plate', 'bedroom drawer', 'bedroom drawer', 'barrel']"
shoe,suitcase,"['parlor', ""prostitute's bedroom"", 'shoe', 'jacket']"
shoe box,corridor,"['livingroom', 'trunk', 'desk', 'attic']"
shop,container,"['kitchen', 'tea room', 'chamber', 'hamper']"
showercurtain,bathroom,"['livingroom', 'wallet', 'closet', 'pitcher']"
showerdoor,bathroom,"['oven', 'master bedroom', 'orchestra', 'shaker']"
showerglass,bathroom,"['bunk', 'broom closet', 'living rooms', 'hall']"
showerhead,bathroom,"['castle', 'stove', 'bed', 'closet']"
shredder,kitchen,"['orchestra', 'ir rooms', 'cubicle', 'larder']"
shrimp,plate,"['every bedroom', 'middle of  room', 'garbage', 'grand ballroom']"
sideboard,dining room,"[""child's room"", 'playroom', 'foyer', 'dormroom']"
sidetable,bathroom,"['shell', 'dwelling', 'boat', 'floor']"
sidewalk chalk,lobby,"['sedan', 'tin', ""cash's room"", 'ir rooms']"
sink,kitchen,"['drawer', 'attic', 'bedroom', 'range']"
sinkbasin,kitchen,"['glass', 'guest room', 'delivery room', 'band room']"
skeleton,closet,"['bathroom cabinet', 'basement', 'press', 'icebox']"
skillet,closet,"['shelf', 'bicycle', 'lounge', 'bathroom or kitchen']"
skillet lid,home office,"['breadbox', 'nest', ""child's bedroom"", 'boot']"
skin care product,garage,"['stand', 'room', 'music room', 'bathroom drawer']"
skin moisturizer,television room,"['guest room', 'toaster', 'loungeroom', 'cellar']"
slack,suitcase,"['washer', 'hall', 'hatbox', 'sedan']"
slip,drawer,"['hotel room', 'sedan', 'carton', ""person's living room""]"
slipper,bed,"['cubicle', 'beehive', 'bathroom and kitchen', 'band room']"
snack,backpack,"['dwelling', 'pocket', 'home', 'purse']"
snack cake,living room,"['wallet', 'music room', 'chamber', 'table']"
snack dispenser,dining room,"['briefcase', ""men's restroom"", 'machine', 'sofa']"
snail,shell,"['carton', 'deck', 'loft', 'bathroom drawer']"
soap dish,storage room,"['well', 'briefcase', 'handbag', 'shell']"
soap dispenser,lobby,"['packet', 'trunk', 'laundry room', 'carton']"
soapbar,bathroom,"['most rooms', 'washer', 'machine', 'bathroom drawer']"
soapbottle,bathroom,"['head', 'table', 'ir rooms', 'bike']"
socket,cabinet,"['nest', 'bathroom drawer', 'hive', 'anor room']"
soda,can,"['grand ballroom', 'hive', 'vault', 'suitcase']"
sofa,livingroom,"['backpack', 'spoon', 'board', 'counter']"
softball,corridor,"['bright room', 'mansion', 'trap', 'chest']"
software cd,lobby,"['case', 'carton', 'ir rooms', 'keg']"
sorting toy,bedroom,"['place', 'livingroom', 'deck', 'bay']"
soup,container,"['butt', 'laundry room', 'teapot', 'kitchen or bathroom']"
spa,house,"['master bedroom', 'waiting room', 'bowl', ""men's restroom""]"
spaghetti,plate,"[""child's room"", 'fridge', 'dwelling', 'motorbike']"
spam,container,"['bag', 'refrigerator', 'head', 'pocket']"
sparkling water,exercise room,"['livingroom', 'vault', 'every bedroom', 'larder']"
spatula,bedroom,"['boot', 'dimly lit room', 'tea room', 'castle']"
spice,cabinet,"['trunk', 'bus', 'grand ballroom', 'shaker']"
spider,bed,"['livin room', 'hatbox', 'motel room', ""person's living room""]"
spinach,pan,"['living rooms', 'different room', 'pod', 'tin']"
sponge,bathroom,"['suitcase', 'numerous modern washrooms', 'den', 'bathroom and kitchen']"
sponge dish,closet,"['bay', 'cubicle', 'loft', 'belfry']"
spoon,closet,"['art classroom', ""children's room"", 'freezer', 'backpack']"
spoon rest,exercise room,"['refrigerator', 'lamp', 'bundle', 'dumpster']"
spraybottle,bathroom,"['backpack', 'palace', 'icebox', 'case']"
squash,oven,"['sofa', 'way', 'pod', 'cabinet']"
stacking cups,utility room,"['bottle', 'numerous modern washrooms', 'art classroom', 'lamp']"
stamper,cabinet,"['schoolroom', 'shoe', 'bathtub', 'keg']"
stand mixer,utility room,"[""child's bedroom"", 'cruet', ""prostitute's bedroom"", ""cash's room""]"
stapler,cabinet,"['furniture', 'bedroom', ""cash's room"", 'apartment']"
statue,living room,"['bathroom drawer', 'bay', 'corridor', 'bathroom or kitchen']"
statuette,shelf,"['grand ballroom', 'microwave', 'desk', 'floor']"
steak,freezer,"['kitchen', 'dining room', 'family room', 'sofa']"
steel,automobile,"['plate', 'shelf', 'case', 'oven']"
stereo,car,"['safe', 'home', 'bay', 'garbage']"
stew,pot,"['study', 'pocket', 'keg', 'bathroom or kitchen']"
stocking,suitcase,"['schoolroom', 'refrigerator', 'bathroom cabinet', 'packet']"
stool,living room,"['one room flat', 'furniture', 'bathroom drawer', 'toolbox']"
storage,locker,"['one room flat', 'fridge', 'car', 'dungeon']"
storage bin,living room,"['toaster', 'one room flat', 'separate room', 'hive']"
storehouse,basement,"['bathroom cabinet', 'dumpster', 'bathroom or kitchen', 'bag']"
storeroom,basement,"['family room', 'storage room', 'basket', 'motorbike']"
stove,house,"['bank', 'engine', 'foyer', 'most rooms']"
stoveburner,kitchen,"['one room flat', 'way', 'teapot', 'nest']"
stoveknob,kitchen,"['separate room', 'automobile', 'floor', 'waiting room']"
strawberry,playroom,"['ir rooms', 'cabinet', 'dishwasher', 'hive']"
streamer,ballroom,"['way', 'bank', 'briefcase', 'kitchen']"
string lights,dining room,"['art classroom', 'barrel', 'family room', ""child's bedroom""]"
stuffed toy,storage room,"['bathroom cabinet', 'place', 'stove', 'guest room']"
sugar,jar,"['sofa', 'tea room', 'separate room', 'bundle']"
sugar box,playroom,"['cup', 'foyer', 'dresser', 'numerous modern washrooms']"
sugar sprinkles,pantry room,"['barrel', 'independant room', 'restroom', 'jar']"
suit,suitcase,"['garage', 'packet', 'camp', 'family room']"
sunglass,car,"['toaster', 'hall', 'library', 'briefcase']"
sunscreen,backpack,"['dwelling', 'bathroom drawer', 'chamber', 'nest']"
supper,oven,"['court', 'trap', 'bath', ""men's restroom""]"
surface saver ring,closet,"['bowl', 'dishwasher', 'bookshelf', 'desk']"
sushi,plate,"['schoolroom', 'tin', 'kitchen or bathroom', 'living room']"
sushi mat,bedroom,"[""child's bedroom"", 'counter', 'belfry', 'carton']"
sweater,suitcase,"[""person's living room"", 'backyard', 'parlor', 'pot']"
tab,bar,"['numerous modern washrooms', 'lounge', 'packet', 'childs room']"
table,house,"['chest', 'bathroom', 'cabin', 'car']"
table lamp,closet,"['pantry', 'spoon', 'bright room', 'engine']"
tablet,bedroom,"['drawer', 'bottle', 'bundle', 'most rooms']"
tablet holder,television room,"['motorbike', 'nest', 'different room', 'locker']"
tablet stand,childs room,"['wardrobe', 'icebox', 'briefcase', 'ballroom']"
tabletopdecor,bedroom,"['guest room', 'cubicle', 'bank', 'bag']"
tag,range,"['motel room', 'hatbox', 'well', 'living room']"
tampon,home office,"['basement', 'basement', 'head', 'dresser']"
tank,range,"['cruet', 'cruet', 'bay', 'ir rooms']"
tap,bar,"['pod', 'automobile', 'home office', 'small room']"
tape,drawer,"['room', 'head', 'sink', 'breadbox']"
tea,refrigerator,"['pod', 'hotel room', 'bathtub', 'bathroom drawer']"
tea can pack,kitchen,"['small room', 'dresser', 'court', 'basket']"
tea pods,lobby,"['toolbox', 'pitcher', 'chest', ""child's bedroom""]"
teapot,lobby,"['spoon', 'belfry', 'bathroom drawer', 'apartment']"
teaspoon,cup,"['music room', 'every room', 'bank', 'utility room']"
teddybear,bedroom,"['apartment', 'head', 'icebox', 'automobile']"
telephone,desk,"['utility room', 'room', 'cubicle', 'teapot']"
television,cabinet,"['teapot', 'way', 'truck', 'different room']"
tenderloin,oven,"['home', 'pan', 'livin room', 'band room']"
tennis ball,pantry room,"['barrel', 'jar', 'head', 'band room']"
tennisracket,bedroom,"['butt', 'can', 'nest', 'truck']"
tent,backpack,"['oven', 'card room', 'counter', 'carton']"
textbook,locker,"['guest room', 'lounge', 'counter', 'garbage']"
thimble,cabinet,"['castle', 'motorbike', 'butt', 'toolbox']"
thing,house,"['bike', 'loft', 'library', 'mailbox']"
thread,cabinet,"['middle of  room', 'hall', 'dumpster', 'well']"
thumbtack,desk,"['corridor', 'purse', 'pitcher', 'waiting room']"
tie,closet,"['pot', 'basement', 'microwave', 'press']"
tile,room,"['bunk', 'livin room', 'castle', 'bottle']"
tissuebox,living room,"['every bedroom', 'library', 'bath', 'suitcase']"
toast,pocket,"[""person's living room"", 'orchestra', 'cabinet', 'bathroom or kitchen']"
toaster,corridor,"['icebox', 'bus', 'foyer', 'floor']"
toffee,jar,"['trap', 'backpack', 'bus', 'bag']"
tofu,oven,"['loungeroom', 'numerous modern washrooms', 'bottle', 'bathroom or kitchen']"
toilet,basement,"['hall', 'kitchen', 'family room', 'garden']"
toiletpaper,bathroom,"['floor', 'chest', 'bedroom', 'plate']"
toiletpaperhanger,bathroom,"['hamper', 'case', 'side of  room', 'glass']"
toiletry,suitcase,"['chest', 'bright room', 'cubicle', 'motel room']"
tomato,oven,"['way', 'can', 'keg', 'tank']"
tomato soup can,pantry room,"['delivery room', 'fridge', ""prostitute's bedroom"", 'refrigerator']"
tool,basement,"['loungeroom', 'machine', 'wardrobe', 'band room']"
toothbrush,cabinet,"['locker', 'childs room', 'stand', 'way']"
toothbrush holder,corridor,"['den', ""cash's room"", 'art classroom', 'nest']"
toothbrush pack,corridor,"['classroom', ""teenager's bedroom"", 'pan', 'library']"
toothpick,box,"['most rooms', 'spoon', ""children's room"", 'head']"
top,suitcase,"[""prostitute's bedroom"", 'freezer', 'motel room', 'bedroom drawer']"
torch,backpack,"['restroom', 'box', 'hatbox', 'cabin']"
tortilla,oven,"['bag', 'hotel room', ""cash's room"", 'small room']"
tourniquet,ambulance,"['larder', 'exercise room', 'bank', 'livin room']"
towel,utility room,"['motel room', 'dwelling', 'classroom', 'icebox']"
towelholder,bathroom,"['cabinet', 'stove', 'oven', 'sofa']"
toy,closet,"['dwelling', 'loft', 'childs room', 'package']"
toy airplane,lobby,"['room of house', 'teapot', 'pantry', 'freezer']"
toy animal,garage,"['box', 'hall', 'cat', 'mansion']"
toy basketball,lobby,"['pod', 'hall', 'glass', 'restroom']"
toy bowling set,playroom,"['hive', 'garbage', 'bay', 'dishwasher']"
toy construction set,home office,"['castle', 'locker', 'bicycle', 'music room']"
toy fishing,bathroom,"['lamp', 'parlor', 'box', 'shelf']"
toy food,home office,"['floor', 'orchestra', ""children's room"", ""person's living room""]"
toy furniture set,playroom,"['container', 'toaster', 'kitchen or bathroom', 'bookshelf']"
toy instrument,garage,"['packet', 'shaker', 'bath', 'guest room']"
toy kitchen set,pantry room,"['dungeon', ""person's living room"", 'bathtub', 'bike']"
toy tool kit,kitchen,"['basket', 'cradle', 'bed', 'belfry']"
toy vehicle,kitchen,"['every bedroom', 'nest', 'bike', 'breadbox']"
transmission,car,"['range', 'sack', 'press', 'engine']"
transom,boat,"['way', 'basement', 'pantry', 'barrel']"
tray,corridor,"['bunk', 'sink', 'dimly lit room', 'hamper']"
treasure,box,"['house', 'basement', 'pitcher', 'independant room']"
trinket,shelf,"['closet', 'kitchen', 'trunk', 'bed']"
trouser,suitcase,"['bus', 'desk', 'chest', 'closet']"
trowel,cabinet,"['safe', 'bedroom drawer', 'boat', 'pocket']"
trunk,car,"['bedroom drawer', 'one room flat', 'basket', 'different room']"
tub,kitchen,"['every bedroom', 'belfry', 'bank', 'band room']"
tumbler,dining room,"['bathroom and kitchen', 'hamper', 'cubicle', 'bunk']"
tuna,can,"['drawer', 'livingroom', 'tank', 'bathroom cabinet']"
turkey,oven,"['most rooms', 'dungeon', 'trunk', 'cabinet']"
turtle,box,"['sedan', 'guest room', 'mailbox', 'stand']"
tuxedo,ballroom,"['place', 'table', ""cash's room"", 'hospital drug storeroom']"
tv,kitchen,"['carton', 'room of house', 'waiting room', 'stove']"
tvstand,living room,"['refrigerator', 'drawer', 'bathtub', 'dishwasher']"
