task,hardware_config,model_answer,correct_answer
move the yellow item to the right,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move the yellow mug to the front of the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move the yellow mug to the front of the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move the yellow mug to the right,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move the yellow mug to the right,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move the yellow object,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move the yellow object,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move the yellow object on the sofa,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
move the yellow object on the sofa,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move the yellow object to the right,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move the yellow object to the right,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move the yellow pencil forwards,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
move the yellow pencil forwards,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move the yellow plate to the sink,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
move the yellow plate to the sink,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move the yellow plushie closer to you,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move the yellow plushie closer to you,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move three letter blocks to the left,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move three letter blocks to the left,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move to sell phones to the desk.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move to sell phones to the desk.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
"move to table, pick up statue and turn on light.",The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
"move to table, pick up statue and turn on light.",The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move to white rags to a shelf.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
move to white rags to a shelf.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move toilet paper to the toilet paper roll holder,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move toilet paper to the toilet paper roll holder,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move towel from towel rack to sink,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
move towel from towel rack to sink,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move towel from towel rack to trash can,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move towel from towel rack to trash can,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move tv remote to the tv stand.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move tv remote to the tv stand.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two alarm clocks to the desk.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two alarm clocks to the desk.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two bars of soap to a bin,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two bars of soap to a bin,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two bars of soap to the toilet tank.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two bars of soap to the toilet tank.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two black objects to the right,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move two black objects to the right,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move two books to a white dresser.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two books to a white dresser.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two bottles of lotion into a green bin.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
move two bottles of lotion into a green bin.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two bottles to the left,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move two bottles to the left,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move two bowls from the dining table to the coffee table.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two bowls from the dining table to the coffee table.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two boxes of tissues from a bathroom counter to the back of a toilet.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two boxes of tissues from a bathroom counter to the back of a toilet.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two candles into a cabinet.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two candles into a cabinet.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two candles to one drawer.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two candles to one drawer.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two cardboard boxes to a coffee table.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two cardboard boxes to a coffee table.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two cds to a bin,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two cds to a bin,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two cell phones from the bed to the desk.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two cell phones from the bed to the desk.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two cloths to the shelf.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two cloths to the shelf.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two credit cards from the couch to the chair on the right.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two credit cards from the couch to the chair on the right.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two credit cards into a safe.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two credit cards into a safe.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two credit cards scattered around the room to the center coffee table,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two credit cards scattered around the room to the center coffee table,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two credit cards to a table.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
move two credit cards to a table.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two credit cards to the table.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two credit cards to the table.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two cups to the left of the sink,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
move two cups to the left of the sink,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move two digital clocks to a shelf.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two digital clocks to a shelf.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two discs to a wooden shelving unit on the wall.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two discs to a wooden shelving unit on the wall.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two forks to a sink,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two forks to a sink,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two glasses from the sink to the microwave.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two glasses from the sink to the microwave.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two glasses to a shelf.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two glasses to a shelf.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two key fobs to the top of a chest of drawers.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two key fobs to the top of a chest of drawers.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two keys from the chair and lamp stand to the top of the dresser.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two keys from the chair and lamp stand to the top of the dresser.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two knives into a drawer.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
move two knives into a drawer.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move two lap tops to the desk.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
move two lap tops to the desk.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two newspapers to the seat of a couch.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two newspapers to the seat of a couch.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two objects from the right storage box to the left,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move two objects from the right storage box to the left,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move two pans to a shelf to the left of the counter.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two pans to a shelf to the left of the counter.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two pencils to a desk.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two pencils to a desk.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two pencils to a table.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
move two pencils to a table.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move two pencils to a wooden desk.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two pencils to a wooden desk.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two pens to a small dresser.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two pens to a small dresser.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two pens to the bottom shelf of the desk.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
move two pens to the bottom shelf of the desk.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two pens to the night stand.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two pens to the night stand.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two phones into a drawer,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two phones into a drawer,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two phones to a dresser.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two phones to a dresser.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two plates to a coffee table.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two plates to a coffee table.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two rags to a dresser.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two rags to a dresser.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two remote control wands from an end table to a chair seat.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
move two remote control wands from an end table to a chair seat.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move two remote controls to the brown chair on the right of the fireplace.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two remote controls to the brown chair on the right of the fireplace.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two remotes to a chair.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
move two remotes to a chair.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
move two saltshakers out of cupboards onto the countertop,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two saltshakers out of cupboards onto the countertop,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two sets of keys to a nightstand.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two sets of keys to a nightstand.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two soap dispensers from the toilet to the rack of shelves,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two soap dispensers from the toilet to the rack of shelves,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two soap dispensers to the shelves by the sink.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two soap dispensers to the shelves by the sink.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two spatulas from sink and put in drawer near stove.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two spatulas from sink and put in drawer near stove.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two sponges to the counter.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
move two sponges to the counter.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two tissue boxes to the top shelf of a metal shelving unit.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
move two tissue boxes to the top shelf of a metal shelving unit.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two toilet paper rolls into a drawer.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two toilet paper rolls into a drawer.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two toilet paper rolls to a cupboard below the sink.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two toilet paper rolls to a cupboard below the sink.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two toilet paper to a drawer.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two toilet paper to a drawer.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two wash cloths into the tub.,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two wash cloths into the tub.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move two watches to the table next to the chairs.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
move two watches to the table next to the chairs.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
move yellow cup forward,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
move yellow cup forward,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
moved the two books from the bed to the desk.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
moved the two books from the bed to the desk.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
moving 2 cds to the nightstand,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
moving 2 cds to the nightstand,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
moving a pot with a slice of lettuce in it to the counter,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
moving a pot with a slice of lettuce in it to the counter,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
moving cleaner bottles from a bathroom stand to the toilet tank.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
moving cleaner bottles from a bathroom stand to the toilet tank.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
moving spoons to a kitchen counter,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
moving spoons to a kitchen counter,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
moving the keys to a counter,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
moving the keys to a counter,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
moving the plate to a cabinet,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
moving the plate to a cabinet,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
moving the tea kettle to a cabinet,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
moving the tea kettle to a cabinet,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
moving toilet paper rolls to a shelf,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
moving toilet paper rolls to a shelf,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
moving two books into a drawer of the desk,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
moving two books into a drawer of the desk,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
moving two clocks from the desk to a side table,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
moving two clocks from the desk to a side table,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
neatly stack and tidy the dishes.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
neatly stack and tidy the dishes.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
not action,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
not action,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open and close the glass door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open and close the glass door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open and close the second drawer on the left,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open and close the second drawer on the left,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open both doors to the cupboard,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
open both doors to the cupboard,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the bag,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the bag,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the bin on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the bin on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the black coffeemaker,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the black coffeemaker,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the blinds on the window,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the blinds on the window,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the bowl,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the box and then close it,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the box and then close it,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the box completely,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the box completely,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the cabinet door on the left side of the microwave,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the cabinet door on the left side of the microwave,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the cap on the silver bottle,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the cap on the silver bottle,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the cardboard box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the cardboard box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the case on the left,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the case on the left,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the clear bowl,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the clear bowl,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the clear box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the clear box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the clear container,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the clear container,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the clear container on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the clear container on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the coffee maker then close it,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the coffee maker then close it,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the coffee marker,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the coffee marker,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the cover of the black book,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the cover of the black book,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the cube-shaped wooden object,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
open the cube-shaped wooden object,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the cupboard and put the yellow and green objects inside,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
open the cupboard and put the yellow and green objects inside,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the cupboard door,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the cupboard door,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the desk drawers completely,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the desk drawers completely,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the detergent compartment of the washing machine in the middle,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the detergent compartment of the washing machine in the middle,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the door completely,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the door completely,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the door of the box,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the door of the box,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the door of the open,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
open the door of the open,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the door of the top cabinet then put the green plushie in the bottom compartment and the orange sponge in the top compartment of the open cabinet,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
open the door of the top cabinet then put the green plushie in the bottom compartment and the orange sponge in the top compartment of the open cabinet,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the door to the microwave,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
open the door to the microwave,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the drawer and then remove the yellow object that is inside the drawer and put it on the table,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
open the drawer and then remove the yellow object that is inside the drawer and put it on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
open the drawer of the small box on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
open the drawer of the small box on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
